  Max Value: 7.029701, Column: SRR109010  Second Max Value: 6.058180, Column: SRR109008
  Max Value: 5.748162, Column: SRR109008  Second Max Value: 4.914428, Column: SRR109010
  Max Value: 2.429854, Column: SRR109010  Second Max Value: 0.882659, Column: SRR109006
  Max Value: 2.593880, Column: ERR489204  Second Max Value: 2.583500, Column: ERR489163
  Max Value: 2.498174, Column: SRR8357175  Second Max Value: 2.496909, Column: ERR2077449
  Max Value: 1.485313, Column: SRR5810020  Second Max Value: 0.052219, Column: SRR8357174
  Max Value: 2.550586, Column: ERR2074151  Second Max Value: 2.347138, Column: ERR2074052
  Max Value: 2.644174, Column: ERR2075396  Second Max Value: 2.246951, Column: ERR2075400
  Max Value: 1.634822, Column: ERR2074049  Second Max Value: 0.965171, Column: ERR2075398
  Max Value: 1.997160, Column: ERR2074051  Second Max Value: 1.554721, Column: ERR2075400
  Max Value: 3.711072, Column: ERR2075399  Second Max Value: 0.134987, Column: ERR2077875
  Max Value: 5.641538, Column: ERR2076428  Second Max Value: 2.113217, Column: SRR11829443
  Max Value: 32.441875, Column: SRR14788773  Second Max Value: 28.479807, Column: SRR14788774
  Max Value: 9.615719, Column: ERR2076428  Second Max Value: 3.227553, Column: SRR6780842
  Max Value: 1.138794, Column: SRR109008  Second Max Value: 0.773276, Column: ERR2077875
  Max Value: 2.649620, Column: ERR2075518  Second Max Value: 1.747485, Column: ERR2075242
  Max Value: 10.285579, Column: SRR3109717  Second Max Value: 3.417803, Column: SRR8002939
  Max Value: 10.582377, Column: SRR8357176  Second Max Value: 6.058020, Column: ERR2076879
  Max Value: 16.634634, Column: SRR8258963  Second Max Value: 14.495744, Column: SRR14839325
  Max Value: 6.322739, Column: SRR3109717  Second Max Value: 3.284843, Column: SRR8002939
  Max Value: 8.938499, Column: SRR8357175  Second Max Value: 6.459766, Column: SRR10249367
  Max Value: 1.567902, Column: SRR8357174  Second Max Value: 1.376441, Column: SRR10249368
  Max Value: 3.927499, Column: SRR10249368  Second Max Value: 2.508652, Column: SRR10249367
  Max Value: 1.179984, Column: SRR9695020  Second Max Value: 1.069637, Column: ERR2077881
  Max Value: 1.348480, Column: SRR12545625  Second Max Value: 0.945977, Column: ERR2076509
  Max Value: 1.454912, Column: ERR2074045  Second Max Value: 1.261019, Column: SRR9695020
  Max Value: 6.074120, Column: ERR2076675  Second Max Value: 4.472172, Column: SRR7755505
  Max Value: 1.871173, Column: ERR2075513  Second Max Value: 1.819374, Column: SRR7755505
  Max Value: 1.612427, Column: SRR7755449  Second Max Value: 0.232714, Column: ERR489160
  Max Value: 5.887929, Column: ERR9578131  Second Max Value: 5.561133, Column: ERR9578129
  Max Value: 3.445612, Column: ERR9578129  Second Max Value: 2.366722, Column: ERR9578131
  Max Value: 2.598722, Column: ERR9578129  Second Max Value: 1.614893, Column: ERR9578131
  Max Value: 3.687740, Column: ERR2075921  Second Max Value: 1.512924, Column: ERR2074415
  Max Value: 3.230202, Column: ERR2075921  Second Max Value: 2.608954, Column: ERR2076168
  Max Value: 3.207337, Column: ERR2076168  Second Max Value: 0.616980, Column: SRR12545627
  Max Value: 6.308137, Column: SRR3109718  Second Max Value: 2.468121, Column: SRR3109717
  Max Value: 4.213687, Column: ERR2074736  Second Max Value: 3.901368, Column: ERR9578129
  Max Value: 2.360640, Column: ERR2074736  Second Max Value: 2.286781, Column: ERR9578131
  Max Value: 1.406785, Column: ERR2077659  Second Max Value: 1.096420, Column: SRR8934210
  Max Value: 3.027647, Column: SRR8357176  Second Max Value: 1.472746, Column: ERR2074736
  Max Value: 2.803853, Column: ERR2077887  Second Max Value: 1.477316, Column: ERR2077881
  Max Value: 2.902152, Column: ERR2077881  Second Max Value: 2.702260, Column: ERR2074541
  Max Value: 8.483554, Column: ERR2076428  Second Max Value: 8.372983, Column: SRR10249367
  Max Value: 2.156021, Column: SRR8258959  Second Max Value: 0.811378, Column: ERR2075852
  Max Value: 1.292861, Column: ERR2074637  Second Max Value: 0.067709, Column: SRR8367180
  Max Value: 7.576779, Column: ERR2076428  Second Max Value: 0.429307, Column: SRR5810022
  Max Value: 3.028170, Column: ERR2075393  Second Max Value: 2.746529, Column: ERR2076281
  Max Value: 10.040317, Column: ERR2074053  Second Max Value: 7.778420, Column: ERR2074051
  Max Value: 6.943329, Column: ERR2075518  Second Max Value: 6.586509, Column: ERR2074053
  Max Value: 1.542799, Column: SRR8258959  Second Max Value: 0.574487, Column: ERR489162
  Max Value: 5.828741, Column: ERR2076675  Second Max Value: 3.863590, Column: ERR9578131
  Max Value: 1.343694, Column: ERR2074541  Second Max Value: 1.282625, Column: SRR3109717
  Max Value: 2.062707, Column: SRR12247889  Second Max Value: 1.479091, Column: SRR12247888
  Max Value: 3.418185, Column: ERR2077449  Second Max Value: 1.491602, Column: SRR12247888
  Max Value: 1.142831, Column: SRR12247889  Second Max Value: 1.142409, Column: SRR12247890
  Max Value: 2.663345, Column: ERR2074082  Second Max Value: 2.419051, Column: ERR2075976
  Max Value: 4.399623, Column: ERR2074151  Second Max Value: 4.036016, Column: ERR2074119
  Max Value: 4.883271, Column: SRR3109717  Second Max Value: 3.656030, Column: SRR3109718
  Max Value: 1.784192, Column: SRR8357175  Second Max Value: 1.648810, Column: ERR2074736
